Files,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29, Class
Hunger-22,109.62643678160919, 103.01724137931033, 101.58045977011494, 101.43678160919539, 110.20114942528735, 100.0, 108.04597701149424, 105.17241379310344, 115.66091954022988, 112.21264367816092, 109.3390804597701, 104.88505747126436, 106.60919540229884, 118.10344827586206, 101.72413793103448, 104.74137931034483, 106.4655172413793, 103.44827586206895, 99.13793103448275, 103.5919540229885, 101.86781609195401, 103.87931034482757, 112.35632183908045, 111.7816091954023, 97.5574712643678, 106.32183908045977, 96.26436781609195, 110.34482758620689, 103.16091954022988, 106.17816091954022,0
Hunger-23,143.94812680115274, 144.0922190201729, 143.80403458213257, 144.23631123919307, 143.22766570605188, 143.0835734870317, 143.6599423631124, 143.37175792507205, 142.93948126801152, 143.5158501440922, 142.79538904899135, 144.38040345821327, 144.52449567723343, 142.6512968299712, 144.6685878962536, 142.50720461095102, 144.81268011527376, 144.95677233429396, 130.835734870317, 142.36311239193083, 145.10086455331412, 130.69164265129683, 142.21902017291066, 130.11527377521614, 130.2593659942363, 130.4034582132565, 142.0749279538905, 129.53890489913545, 129.97118155619597, 129.6829971181556,0
Hunger-24,1279.0030211480362, 1278.8519637462234, 1278.700906344411, 1279.154078549849, 1278.5498489425981, 1278.3987915407854, 1278.2477341389726, 1279.3051359516617, 1278.0966767371601, 1279.4561933534742, 1277.9456193353474, 1276.2839879154078, 1277.0392749244713, 1276.586102719033, 1279.607250755287, 1276.4350453172206, 1276.7371601208458, 1277.1903323262839, 1277.4924471299094, 1277.3413897280966, 1281.1178247734138, 1281.4199395770393, 1280.9667673716012, 1279.7583081570997, 1281.5709969788518, 1281.2688821752265, 1907.8549848942598, 1280.6646525679757, 1276.8882175226586, 1280.8157099697885,0
Hunger-25,463.728323699422, 468.78612716763007, 466.47398843930637, 425.8670520231214, 460.8381502890174, 423.5549132947977, 476.87861271676303, 477.74566473988443, 467.9190751445087, 474.13294797687865, 475.1445086705203, 467.34104046242777, 467.6300578034682, 470.2312138728324, 464.7398843930636, 462.2832369942197, 486.12716763005784, 458.5260115606937, 476.5895953757226, 425.00000000000006, 480.20231213872836, 477.456647398844, 436.5606936416185, 471.242774566474, 466.1849710982659, 459.3930635838151, 478.32369942196533, 429.9132947976879, 483.6705202312139, 424.4219653179191,0
Hunger-26,1106.6091954022988, 619.971264367816, 1106.3218390804598, 1105.7471264367816, 1105.8908045977012, 1106.0344827586207, 1105.028735632184, 1104.7413793103447, 1104.1666666666665, 1105.4597701149426, 510.919540229885, 1107.0402298850574, 620.1149425287356, 1104.4540229885056, 1106.7528735632184, 556.4655172413793, 592.3850574712643, 620.6896551724137, 1105.1724137931035, 1106.4655172413793, 1106.896551724138, 510.77586206896547, 1106.1781609195402, 1103.8793103448274, 1103.4482758620688, 1104.310344827586, 1103.5919540229884, 1105.603448275862, 620.8333333333333, 620.4022988505747,0
Hunger-27,458.6102719033232, 458.0060422960725, 457.8549848942598, 476.4350453172205, 458.30815709969784, 476.2839879154078, 458.45921450151053, 458.15709969788514, 458.7613293051359, 676.8882175226586, 476.1329305135951, 675.226586102719, 330.3625377643504, 330.5135951661631, 333.3836858006042, 678.3987915407855, 329.0030211480362, 476.5861027190332, 331.72205438066464, 329.1540785498489, 335.1963746223565, 336.55589123867065, 677.190332326284, 333.2326283987915, 336.70694864048335, 330.21148036253777, 677.0392749244712, 457.7039274924471, 676.5861027190332, 674.9244712990936,0
Hunger-28,184.6376811594203, 184.92753623188406, 184.7826086956522, 181.1594202898551, 184.4927536231884, 181.0144927536232, 185.07246376811594, 181.30434782608697, 188.2608695652174, 184.34782608695653, 180.8695652173913, 180.72463768115944, 182.8985507246377, 182.7536231884058, 184.20289855072465, 180.57971014492753, 192.02898550724638, 192.31884057971016, 181.44927536231884, 192.17391304347828, 191.8840579710145, 182.6086956521739, 185.21739130434784, 183.04347826086956, 177.53623188405797, 177.1014492753623, 177.3913043478261, 188.1159420289855, 188.69565217391306, 176.95652173913044,0
Hunger-29,430.8695652173913, 431.7391304347826, 431.59420289855075, 431.0144927536232, 431.8840579710145, 430.72463768115944, 432.0289855072464, 431.15942028985506, 431.4492753623189, 432.17391304347825, 431.304347826087, 432.46376811594206, 432.3188405797102, 430.57971014492756, 432.60869565217394, 430.0, 430.1449275362319, 429.8550724637681, 430.2898550724638, 430.4347826086957, 432.7536231884058, 429.71014492753625, 429.1304347826087, 428.9855072463768, 429.2753623188406, 432.8985507246377, 429.4202898550725, 428.84057971014494, 429.5652173913044, 433.47826086956525,0
Hunger-30,595.4022988505747, 595.2586206896551, 594.683908045977, 596.1206896551723, 593.3908045977012, 594.8275862068965, 594.1091954022988, 593.9655172413793, 598.1321839080459, 604.8850574712643, 603.5919540229885, 595.5459770114942, 596.2643678160919, 596.6954022988506, 600.8620689655172, 604.1666666666666, 593.2471264367816, 596.8390804597701, 594.5402298850574, 598.8505747126436, 604.3103448275862, 603.448275862069, 595.9770114942528, 597.4137931034483, 594.2528735632184, 605.603448275862, 597.2701149425287, 598.2758620689655, 597.9885057471264, 600.1436781609195,0
Hunger-31,696.7836257309941, 678.5087719298245, 696.4912280701755, 681.4327485380117, 694.2982456140351, 692.1052631578947, 694.5906432748537, 697.0760233918128, 694.0058479532163, 674.7076023391812, 691.812865497076, 693.2748538011696, 677.3391812865497, 693.5672514619882, 661.9883040935672, 681.8713450292397, 698.9766081871345, 697.514619883041, 697.2222222222222, 678.2163742690058, 692.3976608187135, 642.9824561403508, 698.6842105263157, 678.9473684210526, 642.6900584795321, 2769.8830409356724, 646.4912280701755, 2768.2748538011692, 646.0526315789473, 626.3157894736842,0
Hunger-32,398.5835694050992, 398.7252124645892, 399.8583569405099, 398.4419263456091, 397.4504249291785, 397.7337110481586, 398.300283286119, 399.0084985835694, 399.5750708215298, 398.0169971671388, 398.8668555240793, 397.1671388101983, 398.1586402266289, 399.7167138810198, 376.91218130311614, 400.1416430594901, 377.1954674220963, 400.0, 397.3087818696884, 383.28611898017, 400.8498583569405, 399.2917847025496, 396.3172804532578, 396.8838526912181, 378.04532577903683, 397.5920679886686, 396.4589235127479, 379.8866855524079, 378.328611898017, 396.600566572238,0
